time_s,minute,door,V,alert,cooldown
0.0,0.0,0,0.0,0,0
0.1,0.0016666666666666668,0,0.0,0,0
0.2,0.0033333333333333335,0,0.0,0,0
0.30000000000000004,0.005000000000000001,0,0.0,0,0
0.4,0.006666666666666667,0,0.0,0,0
0.5,0.008333333333333333,0,0.0,0,0
0.6000000000000001,0.010000000000000002,0,0.0,0,0
0.7000000000000001,0.011666666666666667,0,0.0,0,0
0.8,0.013333333333333334,0,0.0,0,0
0.9,0.015000000000000001,0,0.0,0,0
1.0,0.016666666666666666,0,0.0,0,0
1.1,0.018333333333333333,0,0.0,0,0
1.2000000000000002,0.020000000000000004,0,0.0,0,0
1.3,0.021666666666666667,0,0.0,0,0
1.4000000000000001,0.023333333333333334,0,0.0,0,0
1.5,0.025,0,0.0,0,0
1.6,0.02666666666666667,0,0.0,0,0
1.7000000000000002,0.028333333333333335,0,0.0,0,0
1.8,0.030000000000000002,0,0.0,0,0
1.9000000000000001,0.03166666666666667,0,0.0,0,0
2.0,0.03333333333333333,0,0.0,0,0
2.1,0.035,0,0.0,0,0
2.2,0.03666666666666667,0,0.0,0,0
2.3000000000000003,0.03833333333333334,0,0.0,0,0
2.4000000000000004,0.04000000000000001,0,0.0,0,0
2.5,0.041666666666666664,0,0.0,0,0
2.6,0.043333333333333335,0,0.0,0,0
2.7,0.045000000000000005,0,0.0,0,0
2.8000000000000003,0.04666666666666667,0,0.0,0,0
2.9000000000000004,0.04833333333333334,0,0.0,0,0
3.0,0.05,0,0.0,0,0
3.1,0.051666666666666666,0,0.0,0,0
3.2,0.05333333333333334,0,0.0,0,0
3.3000000000000003,0.05500000000000001,0,0.0,0,0
3.4000000000000004,0.05666666666666667,0,0.0,0,0
3.5,0.058333333333333334,0,0.0,0,0
3.6,0.060000000000000005,0,0.0,0,0
3.7,0.06166666666666667,0,0.0,0,0
3.8000000000000003,0.06333333333333334,0,0.0,0,0
3.9000000000000004,0.065,0,0.0,0,0
4.0,0.06666666666666667,0,0.0,0,0
4.1000000000000005,0.06833333333333334,0,0.0,0,0
4.2,0.07,0,0.0,0,0
4.3,0.07166666666666667,0,0.0,0,0
4.4,0.07333333333333333,0,0.0,0,0
4.5,0.075,0,0.0,0,0
4.6000000000000005,0.07666666666666667,0,0.0,0,0
4.7,0.07833333333333334,0,0.0,0,0
4.800000000000001,0.08000000000000002,0,0.0,0,0
4.9,0.08166666666666668,0,0.0,0,0
5.0,0.08333333333333333,0,0.0,0,0
5.1000000000000005,0.085,0,0.0,0,0
5.2,0.08666666666666667,0,0.0,0,0
5.300000000000001,0.08833333333333335,0,0.0,0,0
5.4,0.09000000000000001,0,0.0,0,0
5.5,0.09166666666666666,0,0.0,0,0
5.6000000000000005,0.09333333333333334,0,0.0,0,0
5.7,0.095,0,0.0,0,0
5.800000000000001,0.09666666666666668,0,0.0,0,0
5.9,0.09833333333333334,0,0.0,0,0
6.0,0.1,0,0.0,0,0
6.1000000000000005,0.10166666666666667,0,0.0,0,0
6.2,0.10333333333333333,0,0.0,0,0
6.300000000000001,0.10500000000000001,0,0.0,0,0
6.4,0.10666666666666667,0,0.0,0,0
6.5,0.10833333333333334,0,0.0,0,0
6.6000000000000005,0.11000000000000001,0,0.0,0,0
6.7,0.11166666666666666,0,0.0,0,0
6.800000000000001,0.11333333333333334,0,0.0,0,0
6.9,0.115,0,0.0,0,0
7.0,0.11666666666666667,0,0.0,0,0
7.1000000000000005,0.11833333333333335,0,0.0,0,0
7.2,0.12000000000000001,0,0.0,0,0
7.300000000000001,0.12166666666666667,0,0.0,0,0
7.4,0.12333333333333334,0,0.0,0,0
7.5,0.125,0,0.0,0,0
7.6000000000000005,0.12666666666666668,0,0.0,0,0
7.7,0.12833333333333333,0,0.0,0,0
7.800000000000001,0.13,0,0.0,0,0
7.9,0.13166666666666668,0,0.0,0,0
8.0,0.13333333333333333,0,0.0,0,0
8.1,0.13499999999999998,0,0.0,0,0
8.200000000000001,0.1366666666666667,0,0.0,0,0
8.3,0.13833333333333334,0,0.0,0,0
8.4,0.14,0,0.0,0,0
8.5,0.14166666666666666,0,0.0,0,0
8.6,0.14333333333333334,0,0.0,0,0
8.700000000000001,0.14500000000000002,0,0.0,0,0
8.8,0.14666666666666667,0,0.0,0,0
8.9,0.14833333333333334,0,0.0,0,0
9.0,0.15,0,0.0,0,0
9.1,0.15166666666666667,0,0.0,0,0
9.200000000000001,0.15333333333333335,0,0.0,0,0
9.3,0.155,0,0.0,0,0
9.4,0.15666666666666668,0,0.0,0,0
9.5,0.15833333333333333,0,0.0,0,0
9.600000000000001,0.16000000000000003,0,0.0,0,0
9.700000000000001,0.16166666666666668,0,0.0,0,0
9.8,0.16333333333333336,0,0.0,0,0
9.9,0.165,0,0.0,0,0
10.0,0.16666666666666666,0,0.0,0,0
10.100000000000001,0.16833333333333336,0,0.0,0,0
10.200000000000001,0.17,0,0.0,0,0
10.3,0.1716666666666667,0,0.0,0,0
10.4,0.17333333333333334,0,0.0,0,0
10.5,0.175,0,0.0,0,0
10.600000000000001,0.1766666666666667,0,0.0,0,0
10.700000000000001,0.17833333333333334,0,0.0,0,0
10.8,0.18000000000000002,0,0.0,0,0
10.9,0.18166666666666667,0,0.0,0,0
11.0,0.18333333333333332,0,0.0,0,0
11.100000000000001,0.18500000000000003,0,0.0,0,0
11.200000000000001,0.18666666666666668,0,0.0,0,0
11.3,0.18833333333333335,0,0.0,0,0
11.4,0.19,0,0.0,0,0
11.5,0.19166666666666668,0,0.0,0,0
11.600000000000001,0.19333333333333336,0,0.0,0,0
11.700000000000001,0.195,0,0.0,0,0
11.8,0.19666666666666668,0,0.0,0,0
11.9,0.19833333333333333,0,0.0,0,0
12.0,0.2,0,0.0,0,0
12.100000000000001,0.2016666666666667,0,0.0,0,0
12.200000000000001,0.20333333333333334,0,0.0,0,0
12.3,0.20500000000000002,0,0.0,0,0
12.4,0.20666666666666667,0,0.0,0,0
